path,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,nacionalidad,ced,cedula,fecha_nacimiento,lugar_nacimiento,etado_civil,sexo,parroquia,avenida,casa,numero_casa,telefono_local,telefono_movil1,telefono_movil2,telefono_familiar,otro_telefono,correo,facebok,instagram,twitter,linkedin,otra_red,hijos,persona_cargo,nivel_instruccion,situacion_actual_estudio,situacion_laboral_inicial,experiencia_laboral
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Andres,Freitez,S,Venezolano(a),51,Venezolano(a),08/16/1950,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,Jose,Linares,S,Venezolano(a),21,Venezolano(a),08/16/1951,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,0,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Daniela,Rodriguez,S,Venezolano(a),31,Venezolano(a),08/16/1952,Tocuyo,Soltero(a),Femenino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,David,Pacheco,S,Venezolano(a),41,Venezolano(a),08/16/1953,Quibor,Soltero(a),Femenino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Rosa,Maria,Sira,S,Venezolano(a),51,Venezolano(a),08/16/1954,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Carmen,Magdalena,Loazida,S,Venezolano(a),61,Venezolano(a),08/16/1955,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Jose,Mario,Gil,S,Venezolano(a),71,Venezolano(a),08/16/1956,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Mario,Rafael,Tovar,S,Venezolano(a),81,Venezolano(a),08/16/1957,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Andres,Freitez,S,Venezolano(a),91,Venezolano(a),08/16/1958,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,Jose,Linares,S,Venezolano(a),101,Venezolano(a),08/16/1959,Tocuyo,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Daniela,Rodriguez,S,Venezolano(a),111,Venezolano(a),08/16/1960,Quibor,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,David,Pacheco,S,Venezolano(a),121,Venezolano(a),08/16/1961,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Rosa,Maria,Sira,S,Venezolano(a),131,Venezolano(a),08/16/1962,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Carmen,Magdalena,Loazida,S,Venezolano(a),141,Venezolano(a),08/16/1963,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Jose,Mario,Gil,S,Venezolano(a),151,Venezolano(a),08/16/1964,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Mario,Rafael,Tovar,S,Venezolano(a),161,Venezolano(a),08/16/1965,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Andres,Freitez,S,Venezolano(a),171,Venezolano(a),08/16/1966,Tocuyo,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,Jose,Linares,S,Venezolano(a),181,Venezolano(a),08/16/1967,Quibor,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Daniela,Rodriguez,S,Venezolano(a),191,Venezolano(a),08/16/1968,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,David,Pacheco,S,Venezolano(a),201,Venezolano(a),08/16/1969,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Maria,Sira,S,Venezolano(a),211,Venezolano(a),08/16/1970,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,Magdalena,Loazida,S,Venezolano(a),221,Venezolano(a),08/16/1971,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Rosa,Mario,Gil,S,Venezolano(a),231,Venezolano(a),08/16/1972,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
