path,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,nacionalidad,ced,cedula,fecha_nacimiento,lugar_nacimiento,etado_civil,sexo,parroquia,avenida,casa,numero_casa,telefono_local,telefono_movil1,telefono_movil2,telefono_familiar,otro_telefono,correo,facebok,instagram,twitter,linkedin,otra_red,hijos,persona_cargo,nivel_instruccion,situacion_actual_estudio,situacion_laboral_inicial,experiencia_laboral
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Andres,Freitez,S,Venezolano(a),512,Venezolano(a),08/16/1950,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,Jose,Linares,S,Venezolano(a),212,Venezolano(a),08/16/1951,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,0,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Daniela,Rodriguez,S,Venezolano(a),312,Venezolano(a),08/16/1952,Tocuyo,Soltero(a),Femenino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,David,Pacheco,S,Venezolano(a),412,Venezolano(a),08/16/1953,Quibor,Soltero(a),Femenino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Rosa,Maria,Sira,S,Venezolano(a),512,Venezolano(a),08/16/1954,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Carmen,Magdalena,Loazida,S,Venezolano(a),612,Venezolano(a),08/16/1955,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Jose,Mario,Gil,S,Venezolano(a),712,Venezolano(a),08/16/1956,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Mario,Rafael,Tovar,S,Venezolano(a),812,Venezolano(a),08/16/1957,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Cesar,Andres,Freitez,S,Venezolano(a),912,Venezolano(a),08/16/1958,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Pedro,Jose,Linares,S,Venezolano(a),1012,Venezolano(a),08/16/1959,Tocuyo,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Maria,Daniela,Rodriguez,S,Venezolano(a),1112,Venezolano(a),08/16/1960,Quibor,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Juan,David,Pacheco,S,Venezolano(a),1212,Venezolano(a),08/16/1961,Moron,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Rosa,Maria,Sira,S,Venezolano(a),1312,Venezolano(a),08/16/1962,Guayos,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,no,sin,hola
..\..\..\..\Users\Cesar\Pictures\1.png,Carmen,Magdalena,Loazida,S,Venezolano(a),1412,Venezolano(a),08/16/1963,Valencia,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Jose,Mario,Gil,S,Venezolano(a),1512,Venezolano(a),08/16/1964,Barquisimeto,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
..\..\..\..\Users\Cesar\Pictures\1.png,Mario,Rafael,Tovar,S,Venezolano(a),1612,Venezolano(a),08/16/1965,Yaritagua,Soltero(a),Masculino,Yaracuy,calle prinipal,casa,35,251,426,414,424,416,ing.cesarfreitez@gmail.co,ing.freitezcesar,cesarf,esart,dsadsa,dsadasdad,1,2,Bachiller,sin,hola,no
